subject;chapter;subchapter;question;options;correct_answer
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int num = 10;
int *ptr = &num;
int *ptr2 = ptr;
*ptr2 = 15;
cout << num;";""A) 10"; "B) 15"; "C) Compiler error"; "D) Undefined behavior"";"B) 15"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"When should you use pointers in C++?";""A) Whenever possible"; "B) Only when dealing with arrays"; "C) Only when working with dynamic memory allocation"; "D) When you need to work with addresses or manipulate memory directly"";"D) When you need to work with addresses or manipulate memory directly"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int *ptr = nullptr;
int num = 5;
ptr = &num;
cout << *ptr;";""A) 0"; "B) 5"; "C) Compiler error"; "D) Undefined behavior"";"B) 5"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the purpose of the 'this' pointer in C++?";""A) It is a pointer to the current object in a class method"; "B) It is a pointer to the previous object in a class method"; "C) It is a pointer to the next object in a class method"; "D) It is a pointer to the base class object"";"A) It is a pointer to the current object in a class method"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int num = 10;
int *ptr = &num;
int &ref = *ptr;
ref = 15;
cout << *ptr;";""A) 10"; "B) 15"; "C) Compiler error"; "D) Undefined behavior"";"B) 15"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"Which of the following statements is true about pointer arithmetic in C++?";""A) Pointer arithmetic is only allowed for pointers to arrays"; "B) Adding 1 to a pointer moves it forward by the size of the data type it points to"; "C) Subtracting 1 from a pointer moves it backward by the size of the data type it points to"; "D) Pointer arithmetic is not allowed in C++"";"B) Adding 1 to a pointer moves it forward by the size of the data type it points to"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int arr[5] = {1, 2, 3, 4, 5};
int *ptr = arr;
cout << ptr[2];";""A) 1"; "B) 2"; "C) 3"; "D) 4"";"C) 3"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is a double pointer in C++?";""A) A pointer that can point to both integers and floats"; "B) A pointer that can point to two different memory locations simultaneously"; "C) A pointer that points to another pointer"; "D) A pointer that has twice the memory size of a regular pointer"";"C) A pointer that points to another pointer"
"OOP's using C++";"Pointers, Virtual Functions";"Introduction to Pointers-declaration and initialization of pointers.Pointers to Objects";"What is the output of the following code ?
int *ptr = nullptr;
int num = 5;
ptr = &num;
*ptr = 7;
cout << *ptr;";""A) 0"; "B) 5"; "C) 7"; "D) Compiler error"";"C) 7"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"What does the this pointer represent in C++?";""A) It points to the current object"; "B) It points to the previous object"; "C) It points to the next object"; "D) It points to the base class object"";"A) It points to the current object"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"In C++, this pointer is available in which type of functions?";""A) Member functions"; "B) Static functions"; "C) Friend functions"; "D) Global functions"";"A) Member functions"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"What is the type of this pointer in C++?";""A) int"; "B) float"; "C) pointer to const"; "D) pointer to non-const"";"D) pointer to non-const"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"Which keyword is used to declare a pointer to a derived class object in C++?";""A) super"; "B) base"; "C) this"; "D) none of the above"";"D) none of the above"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"What is the result of the following code ?
class Base {
public:
    void display() {
        cout << 'Base Class';
    }
};

class Derived : public Base {
public:
    void display() {
        cout << 'Derived Class';
    }
};

int main() {
    Derived d;
    d.display();
    return 0;
}";""A) Base Class"; "B) Derived Class"; "C) Compilation Error"; "D) Runtime Error"";"B) Derived Class"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"When a derived class object is assigned to a base class pointer, which part of the object is accessible?";""A) Both base class and derived class members"; "B) Only base class members"; "C) Only derived class members"; "D) None of the above"";"B) Only base class members"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"What is the output of the following code snippet?
class Base {
public:
    void display() {
        cout << 'Base Class';
    }
};

class Derived : public Base {
public:
    void display() {
        cout << 'Derived Class';
    }
};

int main() {
    Base* ptr = new Derived;
    ptr->display();
}
A) Base Class
B) Derived Class
C) Compilation Error
D) Runtime Error";""A) Base Class"; "B) Derived Class"; "C) Compilation Error"; "D) Runtime Error"";"B) Derived Class"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"Which operator is used to access a member through a pointer in C++?";""A) ."; "B) ->"; "C) ::"; "D) :"";"B) ->"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"What is the output of the following code ?
class Base {
public:
    virtual void display() {
        cout << 'Base Class';
    }
};

class Derived : public Base {
public:
    void display() override {
        cout << 'Derived Class';
    }
};

int main() {
    Base* ptr = new Derived;
    Base* dptr = dynamic_cast<Derived*>(ptr);
    if (dptr == nullptr) {
        cout << 'Conversion failed';
    } else {
        cout << 'Conversion successful';
    }
    return 0;
}";""A) Conversion failed"; "B) Conversion successful"; "C) Compilation Error"; "D) Runtime Error"";"A) Conversion failed"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"When using multiple inheritance, how is ambiguity resolved when accessing a common member using a base class pointer?";""A) By using the most derived class"; "B) By using the first base class"; "C) By using the last base class"; "D) By using the base class with the highest priority"";"C) By using the last base class"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"What is the output of the following code ?
class Base {
public:
    virtual void display() {
        cout << 'Base Class';
    }
};

class Derived : public Base {
public:
    void display() override {
        cout << 'Derived Class';
    }
};

int main() {
    Base* ptr = new Derived;
    ptr->display();
    return 0;
}";""A) Base Class"; "B) Derived Class"; "C) Compilation Error"; "D) Runtime Error"";"B) Derived Class"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"In C++, when deleting a derived class object through a base class pointer, which destructor(s) is/are called?";""A) Base class destructor only"; "B) Derived class destructor only"; "C) Both base class and derived class destructors"; "D) None of the above"";"C) Both base class and derived class destructors"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"What is the output of the following code ?
class Base {
public:
    virtual void display() {
        cout << 'Base Class';
    }
};

class Derived : public Base {
public:
    void display() override {
        cout << 'Derived Class';
    }
};

int main() {
    Derived d;
    Base* ptr = &d;
    ptr->display();
    return 0;
}";""A) Base Class"; "B) Derived Class"; "C) Compilation Error"; "D) Runtime Error"";"B) Derived Class"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"In C++, what happens if a derived class object is assigned to a base class object?";""A) Only base class members are copied"; "B) Only derived class members are copied"; "C) Both base class and derived class members are copied"; "D) Compilation Error"";"A) Only base class members are copied"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"What is the output of the following code ?
class Base {
public:
    void display() {
        cout << 'Base Class';
    }
};

class Derived : public Base {
public:
    void show() {
        cout << 'Derived Class';
    }
};

int main() {
    Base* ptr = new Derived;
    ptr->show();
    return 0;
}";""A) Base Class"; "B) Derived Class"; "C) Compilation Error"; "D) Runtime Error"";"C) Compilation Error"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"In C++, how can you avoid the 'diamond problem' when using multiple inheritance?";""A) By using virtual inheritance"; "B) By using private inheritance"; "C) By using protected inheritance"; "D) By using static inheritance"";"A) By using virtual inheritance"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"What is the output of the following code ?
class Base {
public:
    virtual void display() {
        cout << 'Base Class';
    }
};

class Derived : public Base {
public:
    void display() override {
        cout << 'Derived Class';
    }
};

int main() {
    Base b;
    Derived* dptr = dynamic_cast<Derived*>(&b);
    if (dptr == nullptr) {
        cout << 'Conversion failed';
    } else {
        cout << 'Conversion successful';
    }
    return 0;
}";""A) Conversion failed"; "B) Conversion successful"; "C) Compilation Error"; "D) Runtime Error"";"A) Conversion failed"
"OOP's using C++";"Pointers, Virtual Functions";"this Pointer.Pointers to Derived classes";"In C++, what is the purpose of a pure virtual function in an abstract base class?";""A) It has no purpose and is invalid"; "B) It provides a default implementation for derived classes"; "C) It enforces derived classes to provide their own implementation"; "D) It is used for private members in a base class"";"C) It enforces derived classes to provide their own implementation"
